8206 [http-nio-8080-exec-2] INFO  k.a.h.cse.controller.HomeController - info lelve : Welcome home! The client locale is ko_KR 
8207 [http-nio-8080-exec-1] INFO  k.a.h.cse.controller.HomeController - info lelve : Welcome home! The client locale is ko_KR 
8222 [http-nio-8080-exec-1] INFO  k.a.h.cse.controller.HomeController - Request URL : http://localhost:8080/eStore/, Client IP : 0:0:0:0:0:0:0:1 
8222 [http-nio-8080-exec-2] INFO  k.a.h.cse.controller.HomeController - Request URL : http://localhost:8080/eStore/, Client IP : 0:0:0:0:0:0:0:1 
20013 [http-nio-8080-exec-4] INFO  k.a.h.cse.controller.HomeController - info lelve : Welcome home! The client locale is ko_KR 
20016 [http-nio-8080-exec-4] INFO  k.a.h.cse.controller.HomeController - Request URL : http://localhost:8080/eStore/, Client IP : 127.0.0.1 
20058 [http-nio-8080-exec-7] INFO  k.a.h.cse.controller.HomeController - info lelve : Welcome home! The client locale is ko_KR 
20058 [http-nio-8080-exec-7] INFO  k.a.h.cse.controller.HomeController - Request URL : http://localhost:8080/eStore/, Client IP : 127.0.0.1 
20075 [http-nio-8080-exec-5] INFO  k.a.h.cse.controller.HomeController - info lelve : Welcome home! The client locale is ko_KR 
20075 [http-nio-8080-exec-5] INFO  k.a.h.cse.controller.HomeController - Request URL : http://localhost:8080/eStore/;jsessionid=6175C24053EC0641F3CC789EEBE567E5, Client IP : 127.0.0.1 
29478 [http-nio-8080-exec-2] INFO  k.a.h.cse.controller.HomeController - info lelve : Welcome home! The client locale is ko_KR 
29478 [http-nio-8080-exec-4] INFO  k.a.h.cse.controller.HomeController - info lelve : Welcome home! The client locale is ko_KR 
29479 [http-nio-8080-exec-4] INFO  k.a.h.cse.controller.HomeController - Request URL : http://localhost:8080/eStore/, Client IP : 127.0.0.1 
29479 [http-nio-8080-exec-2] INFO  k.a.h.cse.controller.HomeController - Request URL : http://localhost:8080/eStore/;jsessionid=6175C24053EC0641F3CC789EEBE567E5, Client IP : 127.0.0.1 
